geo,geono,h_ent_m,pg_ent_m,spg_ent_m,dum,rural,news,reg_tpi,strata,spdomain
"National",1,13.57455,3.109262,1.077712,1,,,,,
" ",,,,,,,,,,
"Rural/Urban",0,10.62924,2.465697,.8914539,,"Urban",,,,
"Rural/Urban",1,14.12814,3.230226,1.112721,,"Rural",,,,
" ",,,,,,,,,,
"North/Center/South",1,14.4809,3.347314,1.147321,,,"Central",,,
"North/Center/South",2,13.99914,3.334372,1.148896,,,"Eastern",,,
"North/Center/South",3,7.03288,1.31798,.3856895,,,"Northern",,,
"North/Center/South",4,17.05226,3.966702,1.450511,,,"Western",,,
" ",,,,,,,,,,
"TPI - 6 regions",1,14.4809,3.347314,1.147321,,,,"Central",,
"TPI - 6 regions",2,13.99914,3.334372,1.148896,,,,"Eastern",,
"TPI - 6 regions",3,7.03288,1.31798,.3856895,,,,"Northern",,
"TPI - 6 regions",4,17.05226,3.966702,1.450511,,,,"Western",,
" ",,,,,,,,,,
"Provinces",1,9.890896,2.46401,.9664337,,,,,"Kampala",
"Provinces",2,14.81276,3.080291,.987931,,,,,"Central 1",
"Provinces",3,16.33148,4.018606,1.384525,,,,,"Central 2",
"Provinces",4,10.45813,2.757257,1.017017,,,,,"East Central",
"Provinces",5,16.7012,3.581908,1.161779,,,,,"Eastern",
"Provinces",6,6.092102,1.137678,.3257866,,,,,"Mid Northern",
"Provinces",7,23.58261,5.389289,1.685866,,,,,"North East",
"Provinces",8,4.22173,.6927667,.2469096,,,,,"West Nile",
"Provinces",9,16.24195,4.125748,1.578538,,,,,"Mid Western",
"Provinces",10,17.56518,3.866028,1.369471,,,,,"South Western",
" ",,,,,,,,,,
"Spatial domains",1,9.890896,2.46401,.9664337,,,,,,"Kampala"
"Spatial domains",2,5.935991,1.400103,.5288661,,,,,,"Central urban"
"Spatial domains",3,16.99628,3.875466,1.287466,,,,,,"Central rural"
"Spatial domains",4,14.88576,3.437404,1.151978,,,,,,"Eastern urban"
"Spatial domains",5,13.92226,3.325438,1.148629,,,,,,"Eastern rural"
"Spatial domains",6,10.39326,2.20817,.716064,,,,,,"Northern urban"
"Spatial domains",7,6.439277,1.16073,.3273297,,,,,,"Northern rural"
"Spatial domains",8,15.95235,3.485987,1.217128,,,,,,"Western urban"
"Spatial domains",9,17.14697,4.008091,1.470605,,,,,,"Western rural"
