geo,geono,h_flex5,pg_flex5,spg_flex5,dum,rural,news,reg_tpi,strata,spdomain
"National",1,11.48879,3.110577,1.291259,1,,,,,
" ",,,,,,,,,,
"Rural/Urban",0,40.31711,12.87981,5.829746,,"Urban",,,,
"Rural/Urban",1,6.069566,1.27413,.4381019,,"Rural",,,,
" ",,,,,,,,,,
"North/Center/South",1,18.15201,5.31873,2.351733,,,"Central",,,
"North/Center/South",2,6.037508,1.722456,.7494217,,,"Eastern",,,
"North/Center/South",3,6.019204,1.528902,.5845966,,,"Northern",,,
"North/Center/South",4,13.19599,3.091691,1.119849,,,"Western",,,
" ",,,,,,,,,,
"TPI - 6 regions",1,18.15201,5.31873,2.351733,,,,"Central",,
"TPI - 6 regions",2,6.037508,1.722456,.7494217,,,,"Eastern",,
"TPI - 6 regions",3,6.019204,1.528902,.5845966,,,,"Northern",,
"TPI - 6 regions",4,13.19599,3.091691,1.119849,,,,"Western",,
" ",,,,,,,,,,
"Provinces",1,46.13317,15.21389,7.068265,,,,,"Kampala",
"Provinces",2,8.630166,2.033584,.68804,,,,,"Central 1",
"Provinces",3,12.63156,3.329426,1.447685,,,,,"Central 2",
"Provinces",4,5.426034,1.443652,.5868405,,,,,"East Central",
"Provinces",5,5.839485,1.812933,.8513851,,,,,"Eastern",
"Provinces",6,5.785893,1.438961,.5590588,,,,,"Mid Northern",
"Provinces",7,9.733607,2.791664,1.225162,,,,,"North East",
"Provinces",8,5.560171,1.396095,.4585905,,,,,"West Nile",
"Provinces",9,12.85824,3.156112,1.209339,,,,,"Mid Western",
"Provinces",10,13.40978,3.050914,1.063203,,,,,"South Western",
" ",,,,,,,,,,
"Spatial domains",1,46.13317,15.21389,7.068265,,,,,,"Kampala"
"Spatial domains",2,51.98261,16.90309,7.843608,,,,,,"Central urban"
"Spatial domains",3,5.476614,.89148,.2458245,,,,,,"Central rural"
"Spatial domains",4,48.49135,16.77731,7.820403,,,,,,"Eastern urban"
"Spatial domains",5,2.35479,.4165018,.1360396,,,,,,"Eastern rural"
"Spatial domains",6,36.05061,9.774156,3.757514,,,,,,"Northern urban"
"Spatial domains",7,.7142307,.0723985,.0241086,,,,,,"Northern rural"
"Spatial domains",8,4.138667,.7407585,.2552366,,,,,,"Western urban"
"Spatial domains",9,13.97582,3.294106,1.194292,,,,,,"Western rural"
