" ","1","2","3","4","5","6","7","8","9"
"1",238,241,202,210,186,76,97,208,200
"2",244,229,200,209,179,77,88,208,202
"3",308,285,243,250,223,83,97,247,230
"4",187,182,156,160,140,63,71,163,158
"5",228,210,181,193,167,74,78,189,176
"6",207,208,169,183,151,67,64,160,143
"7",235,220,179,178,148,64,60,170,148
"8",350,359,282,300,256,106,121,281,256
"9",432,438,328,369,317,117,140,331,284




"1",439,444,373,388,343,142,179,383,369
"2",448,420,369,385,331,142,161,383,370
"3",464,428,361,380,337,142,156,379,353
"4",439,430,367,377,331,145,161,381,363
"5",452,420,361,382,331,144,151,374,346
"6",445,442,381,391,338,142,132,362,331
"7",506,479,399,390,331,142,130,380,331
"8",453,460,361,388,331,142,160,362,334
"9",523,520,386,454,378,144,171,388,331

