"spdomain","product","quan5","qent","price","calperg"
"1","101",17.165157,17.227642,1.615184,0.689000
"1","102",0.920669,0.916620,2.528031,0.689000
"1","103",1.449472,1.443063,1.831217,0.689000
"1","104",6.226793,6.198794,0.982027,0.689000
"1","105",16.108749,16.187294,0.724721,1.016400
"1","106",0.000000,0.000000,1.273891,0.000000
"1","107",6.981953,7.004630,0.734538,1.344000
"1","108",0.000000,0.000000,0.568939,0.000000
"1","109",4.231950,4.212773,0.758189,0.646800
"1","110",16.489710,16.406134,1.138152,3.610000
"1","111",0.000000,0.000000,2.282104,0.000000
"1","112",0.000000,0.000000,0.265001,0.000000
"1","113",24.813839,24.810085,0.720854,3.650000
"1","114",42.488815,42.448485,0.226191,2.660000
"1","115",0.000000,0.000000,0.681366,0.000000
"1","116",0.000000,0.000000,0.283065,0.000000
"1","117",7.726467,7.881882,2.663409,1.798200
"1","118",0.000000,0.000000,2.221420,0.000000
"1","119",0.000000,0.000000,3.451488,0.000000
"1","121",0.440735,0.444635,5.570052,1.483500
"1","122",7.663049,7.650646,1.210651,0.616100
"1","123",5.373167,5.404153,0.780962,3.750000
"1","124",22.728420,22.571970,0.114165,1.258400
"1","125",29.644018,29.507686,0.524474,0.600000
"1","127",61.466755,61.458227,0.137524,8.840000
"1","130",5.501143,5.537459,0.705791,0.504400
"1","131",0.000000,0.000000,0.400012,0.000000
"1","132",0.000000,0.000000,0.469506,0.000000
"1","134",0.000000,0.000000,0.479992,0.000000
"1","135",22.337196,22.499144,0.178038,0.364000
"1","136",41.360050,41.790430,0.192351,0.163800
"1","137",5.133990,5.234672,0.449542,0.264000
"1","138",0.000000,0.000000,0.205159,0.000000
"1","139",0.000000,0.000000,0.175578,0.000000
"1","140",0.000000,0.000000,0.741805,0.000000
"1","141",16.071444,16.103263,0.852190,3.130000
"1","143",0.000000,0.000000,1.275177,0.000000
"1","144",6.664011,6.626054,0.999355,5.880000
"1","145",0.000000,0.000000,1.068099,0.000000
"1","146",0.000000,0.000000,1.477548,0.000000
"1","147",14.728273,14.768832,1.589530,3.870000
"1","149",0.000000,0.000000,0.052392,0.000000
"1","150",0.000000,0.000000,0.193292,0.000000
"1","151",9.119854,9.269802,0.588653,0.480000
"1","154",0.000000,0.000000,0.516493,0.000000
"1","158",5.129811,5.106506,0.531837,0.480000
"2","101",9.838887,10.026629,2.576224,0.689000
"2","102",0.000000,0.000000,4.007570,0.000000
"2","103",0.000000,0.000000,0.809775,0.000000
"2","104",0.000000,0.000000,1.230250,0.000000
"2","105",22.491850,25.006084,0.742407,1.016400
"2","106",0.000000,0.000000,0.000000,0.000000
"2","107",17.793564,19.219790,0.661809,1.344000
"2","108",0.000000,0.000000,0.676987,0.000000
"2","109",4.933991,4.969663,0.646731,0.646800
"2","110",8.742627,9.248424,1.187953,3.610000
"2","111",0.000000,0.000000,0.824409,0.000000
"2","112",23.614868,24.604826,0.105994,0.946000
"2","113",35.835041,37.237938,0.666453,3.650000
"2","114",38.724758,41.592988,0.193474,2.660000
"2","115",0.000000,0.000000,0.755796,0.000000
"2","116",0.000000,0.000000,0.616333,0.000000
"2","117",6.333480,6.889549,2.594067,1.798200
"2","118",0.000000,0.000000,2.068915,0.000000
"2","119",0.000000,0.000000,3.101856,0.000000
"2","121",0.000000,0.000000,5.562272,0.000000
"2","122",13.452115,14.154612,0.950309,0.616100
"2","123",8.114565,8.361315,0.603104,3.750000
"2","124",27.465553,29.541461,0.108918,1.258400
"2","125",29.604393,30.310138,0.410941,0.600000
"2","127",60.937798,57.434753,0.114465,8.840000
"2","130",5.706563,5.853258,0.398942,0.504400
"2","131",0.000000,0.000000,0.577687,0.000000
"2","132",0.000000,0.000000,0.234661,0.000000
"2","134",8.158414,8.462569,0.455253,0.494000
"2","135",15.930861,16.120839,0.229019,0.364000
"2","136",46.228302,49.351325,0.157149,0.163800
"2","137",5.884668,6.134451,0.384817,0.264000
"2","138",0.000000,0.000000,0.156270,0.000000
"2","139",0.000000,0.000000,0.146815,0.000000
"2","140",6.935267,7.161794,0.478133,1.030000
"2","141",11.806157,12.343177,0.732699,3.130000
"2","143",0.000000,0.000000,1.650660,0.000000
"2","144",8.757238,8.747462,0.909743,5.880000
"2","145",0.000000,0.000000,0.983716,0.000000
"2","146",0.000000,0.000000,1.801200,0.000000
"2","147",13.906753,14.520776,1.672204,3.870000
"2","149",0.000000,0.000000,0.057062,0.000000
"2","150",0.000000,0.000000,0.164787,0.000000
"2","151",10.711810,11.639121,0.531948,0.480000
"2","154",0.000000,0.000000,0.305499,0.000000
"2","158",6.042873,5.807086,0.531158,0.480000
"3","101",14.245785,11.336657,1.607518,0.689000
"3","102",1.681133,1.125357,1.418316,0.689000
"3","103",2.049132,1.371628,1.536858,0.689000
"3","104",0.000000,0.000000,1.247511,0.000000
"3","105",34.010147,26.012752,1.109982,1.016400
"3","106",0.000000,0.000000,0.848231,0.000000
"3","107",29.886805,23.239715,0.845866,1.344000
"3","108",8.185270,8.515133,0.477606,3.140000
"3","109",1.579442,1.057310,1.282857,0.646800
"3","110",2.781985,1.868811,1.159075,3.610000
"3","111",0.000000,0.000000,0.275037,0.000000
"3","112",50.785866,45.570384,0.093374,0.946000
"3","113",56.753368,44.171646,0.577360,3.650000
"3","114",14.072508,11.857526,0.143472,2.660000
"3","115",0.000000,0.000000,0.575908,0.000000
"3","116",0.000000,0.000000,0.406100,0.000000
"3","117",3.548449,4.398114,2.252264,1.798200
"3","118",1.472229,0.986525,1.877675,2.353400
"3","119",0.000000,0.000000,2.267877,0.000000
"3","121",0.000000,0.000000,3.506616,0.000000
"3","122",8.879909,6.620188,0.684658,0.616100
"3","123",12.224257,14.921540,0.318716,3.750000
"3","124",0.000000,0.000000,0.108780,0.000000
"3","125",38.861355,26.082632,0.243562,0.600000
"3","127",41.642666,55.546115,0.098475,8.840000
"3","130",0.000000,0.000000,0.262001,0.000000
"3","131",0.000000,0.000000,0.337261,0.000000
"3","132",0.000000,0.000000,0.102470,0.000000
"3","134",22.998075,17.159835,0.381359,0.494000
"3","135",13.776804,11.960640,0.177257,0.364000
"3","136",42.391579,46.632171,0.123254,0.163800
"3","137",0.000000,0.000000,0.239926,0.000000
"3","138",32.984791,33.821167,0.112277,0.201600
"3","139",0.000000,0.000000,0.115250,0.000000
"3","140",21.480993,14.429729,0.331948,1.030000
"3","141",40.028885,36.394936,0.438521,3.130000
"3","143",0.000000,0.000000,0.763979,0.000000
"3","144",8.300531,5.621052,0.641932,5.880000
"3","145",0.000000,0.000000,0.826641,0.000000
"3","146",0.000000,0.000000,1.101624,0.000000
"3","147",9.497015,7.427644,1.694540,3.870000
"3","149",0.000000,0.000000,0.103488,0.000000
"3","150",13.762359,14.205027,0.186220,0.000000
"3","151",0.000000,0.000000,0.520964,0.000000
"3","154",0.000000,0.000000,0.178264,0.000000
"3","158",0.000000,0.000000,0.032052,0.000000
"4","101",7.452459,10.273766,1.058196,0.689000
"4","102",0.000000,0.000000,2.467402,0.000000
"4","103",0.000000,0.000000,0.794107,0.000000
"4","104",1.365486,1.870116,1.252898,0.689000
"4","105",16.871920,23.318137,0.606567,1.016400
"4","106",0.000000,0.000000,1.638850,0.000000
"4","107",4.401963,5.985438,0.578415,1.344000
"4","108",8.696287,11.509114,0.890968,3.140000
