geo,geono,h_ent_m,pg_ent_m,spg_ent_m,dum,rural,news,reg_tpi,strata,spdomain
"National",1,16.36014,3.723273,1.316012,1,,,,,
" ",,,,,,,,,,
"Rural/Urban",0,2.643933,.6989037,.2859285,,"Urban",,,,
"Rural/Urban",1,19.22257,4.354427,1.53098,,"Rural",,,,
" ",,,,,,,,,,
"North/Center/South",1,7.465414,1.497862,.4711545,,,"Central",,,
"North/Center/South",2,18.30339,3.732832,1.238774,,,"Eastern",,,
"North/Center/South",3,29.48594,8.104653,3.094836,,,"Northern",,,
"North/Center/South",4,16.70276,3.546443,1.249639,,,"Western",,,
" ",,,,,,,,,,
"TPI - 6 regions",1,7.465414,1.497862,.4711545,,,,"Central",,
"TPI - 6 regions",2,18.30339,3.732832,1.238774,,,,"Eastern",,
"TPI - 6 regions",3,29.48594,8.104653,3.094836,,,,"Northern",,
"TPI - 6 regions",4,16.70276,3.546443,1.249639,,,,"Western",,
" ",,,,,,,,,,
"Provinces",1,.394924,.1942915,.111535,,,,,"central urban",
"Provinces",2,11.47244,2.236628,.6749598,,,,,"central rural",
"Provinces",3,4.500134,.5360828,.0973691,,,,,"Eastern urban",
"Provinces",4,19.3941,3.985432,1.328966,,,,,"Eastern rural",
"Provinces",5,10.83068,3.367906,1.3518,,,,,"Northern urban",
"Provinces",6,32.52435,8.876136,3.378728,,,,,"Northern rural",
"Provinces",7,4.350482,.5025887,.1540516,,,,,"Western Urban",
"Provinces",8,17.50833,3.744954,1.32109,,,,,"Western rural",
" ",,,,,,,,,,
"Spatial domains",1,.394924,.1942915,.111535,,,,,,"Central Urban"
"Spatial domains",2,11.47244,2.236628,.6749598,,,,,,"Central Rural"
"Spatial domains",3,18.30339,3.732832,1.238774,,,,,,"Eastern"
"Spatial domains",4,29.48594,8.104653,3.094836,,,,,,"Northern"
"Spatial domains",5,16.70276,3.546443,1.249639,,,,,,"Western"
