geo,geono,h_flex5,pg_flex5,spg_flex5,dum,rural,news,reg_tpi,strata,spdomain
"National",1,15.83399,3.400828,1.152262,1,,,,,
" ",,,,,,,,,,
"Rural/Urban",0,3.446155,.6935682,.2572576,,"Urban",,,,
"Rural/Urban",1,18.40201,3.962047,1.337798,,"Rural",,,,
" ",,,,,,,,,,
"North/Center/South",1,8.063772,1.473139,.461498,,,"Central",,,
"North/Center/South",2,21.57247,4.619755,1.552937,,,"Eastern",,,
"North/Center/South",3,19.77287,4.887188,1.667076,,,"Northern",,,
"North/Center/South",4,17.13877,3.587274,1.263816,,,"Western",,,
" ",,,,,,,,,,
"TPI - 6 regions",1,8.063772,1.473139,.461498,,,,"Central",,
"TPI - 6 regions",2,21.57247,4.619755,1.552937,,,,"Eastern",,
"TPI - 6 regions",3,19.77287,4.887188,1.667076,,,,"Northern",,
"TPI - 6 regions",4,17.13877,3.587274,1.263816,,,,"Western",,
" ",,,,,,,,,,
"Provinces",1,2.095423,.4179244,.1802621,,,,,"central urban",
"Provinces",2,11.42645,2.067667,.6199516,,,,,"central rural",
"Provinces",3,4.500134,.7531418,.1559843,,,,,"Eastern urban",
"Provinces",4,22.92328,4.925694,1.663469,,,,,"Eastern rural",
"Provinces",5,8.404917,2.070973,.765731,,,,,"Northern urban",
"Provinces",6,21.62438,5.34587,1.81388,,,,,"Northern rural",
"Provinces",7,4.350482,.5143775,.15622,,,,,"Western Urban",
"Provinces",8,17.97278,3.787679,1.336049,,,,,"Western rural",
" ",,,,,,,,,,
"Spatial domains",1,2.095423,.4179244,.1802621,,,,,,"Central Urban"
"Spatial domains",2,11.42645,2.067667,.6199516,,,,,,"Central Rural"
"Spatial domains",3,21.57247,4.619755,1.552937,,,,,,"Eastern"
"Spatial domains",4,19.77287,4.887188,1.667076,,,,,,"Northern"
"Spatial domains",5,17.13877,3.587274,1.263816,,,,,,"Western"
