geo,geono,h_ent_m,pg_ent_m,spg_ent_m,dum,rural,news,reg_tpi,strata,spdomain
"National",1,11.41657,2.973011,1.266011,1,,,,,
" ",,,,,,,,,,
"Rural/Urban",0,3.290592,.5445312,.1453381,,"Urban",,,,
"Rural/Urban",1,12.65777,3.343948,1.437188,,"Rural",,,,
" ",,,,,,,,,,
"North/Center/South",1,5.530541,.9511585,.2829695,,,1,,,
"North/Center/South",2,9.376396,1.675259,.4538325,,,2,,,
"North/Center/South",3,26.03481,8.974137,4.433139,,,3,,,
"North/Center/South",4,7.89738,1.760715,.7165955,,,4,,,
" ",,,,,,,,,,
"TPI - 6 regions",1,5.530541,.9511585,.2829695,,,,"central",,
"TPI - 6 regions",2,9.376396,1.675259,.4538325,,,,"eastern",,
"TPI - 6 regions",3,26.03481,8.974137,4.433139,,,,"northern",,
"TPI - 6 regions",4,7.89738,1.760715,.7165955,,,,"western",,
" ",,,,,,,,,,
"Provinces",1,4.167031,.5309069,.1130342,,,,,"KAMPALA",
"Provinces",2,4.662127,.884754,.2812022,,,,,"CENTRAL 1",
"Provinces",3,6.997818,1.196951,.3566281,,,,,"CENTRAL 2",
"Provinces",4,6.661587,1.294405,.3947284,,,,,"EAST CENTRAL",
"Provinces",5,11.59192,1.986069,.5020666,,,,,"EASTERN",
"Provinces",6,16.05722,4.867151,2.22826,,,,,"MID-NOTHERN",
"Provinces",7,73.44685,33.30127,18.38928,,,,,"NORTH-EAST",
"Provinces",8,18.10525,3.404025,1.013364,,,,,"WEST-NILE",
"Provinces",9,11.58494,2.752712,1.177601,,,,,"MID-WESTERN",
"Provinces",10,3.988778,.7092536,.2279552,,,,,"SOUTH-WESTERN",
" ",,,,,,,,,,
"Spatial domains",1,6.577285,1.165568,.3633261,,,,,,"Central rural"
"Spatial domains",2,3.384492,.5115733,.1182213,,,,,,"Central urban"
"Spatial domains",3,9.376396,1.675259,.4538325,,,,,,"Eastern"
"Spatial domains",4,26.03481,8.974137,4.433139,,,,,,"Northern"
"Spatial domains",5,7.89738,1.760715,.7165955,,,,,,"Western"
