" ","1","2","3","4","5","6","7","8","9","10","11","12","13"
"1",11,12,10,11,10,12,16,13,12,12,14,14,18
"2",11,11,10,10,11,13,19,9,13,11,14,15,17
"3",9,9,8,9,9,10,15,10,11,10,11,12,15
"4",10,10,9,10,10,11,15,11,11,11,13,14,15
"5",11,11,10,10,9,11,16,11,12,11,13,14,16
"6",13,14,12,13,11,13,16,15,13,14,14,16,16
"7",14,17,13,14,13,14,16,19,16,18,18,16,21
"8",15,17,14,14,14,15,17,18,15,16,17,19,19
"9",11,14,9,11,12,13,13,13,12,12,17,15,19
"10",11,14,10,11,10,13,13,13,12,12,16,16,18
"11",13,15,11,12,12,14,15,16,15,17,17,18,23
"12",17,19,14,16,15,18,18,18,17,18,22,23,22
"13",17,20,15,16,15,18,18,18,17,18,21,22,21




"1",13,14,11,13,12,14,18,15,14,14,16,17,20
"2",13,14,13,13,13,15,19,15,16,15,17,19,21
"3",13,14,11,13,11,14,18,15,14,14,16,17,21
"4",13,14,11,12,12,14,17,15,14,14,16,17,18
"5",13,14,12,13,11,14,17,15,14,15,16,17,19
"6",13,15,12,13,12,13,16,15,14,15,16,17,17
"7",13,16,13,14,12,14,14,18,16,18,19,17,21
"8",13,14,12,12,13,13,14,15,14,15,16,17,18
"9",13,16,11,13,12,14,14,15,13,14,19,17,21
"10",13,15,11,13,11,15,14,15,13,14,17,18,19
"11",13,15,11,12,12,14,14,16,14,16,16,18,22
"12",14,15,12,13,11,13,14,15,13,14,16,17,17
"13",14,16,12,14,12,14,15,15,14,14,17,18,17

