spdomain,food_povline_ent,povline_ent_m,fdshr
"Niassa & Cabo Delg.-rur",13.83,17.5526,.7879173
"Niassa & Cabo Delg.-urb",15.35,20.95435,.7325448
"Nampula-rural",12.04,15.58979,.7723003
"Nampula-urban",13.57,18.30783,.7412131
"Sofala & Zambezia-rural",11.86,14.99815,.7907644
"Sofala & Zambezia-urban",14.59,20.28446,.7192698
"Manica & Tete-rural",15.7,20.04608,.7831954
"Manica & Tete-urbana",16.47,22.32432,.7377605
"Gaza & Inhambane-rural",14.01,19.82383,.7067251
"Gaza & Inhambane-urban",15.15,22.10385,.685401
"Maputo Province-rural",17.51,24.29545,.720711
"Maputo Province-urban",19.03,28.3931,.6702334
"Maputo City",19.55,31.07484,.6291264
