product,untcd,convfactor
100,64,2.5
100,70,1.5
101,67,35
102,68,25
103,69,15
103,70,1.5
104,64,2.5
105,10,113.25
105,11,91
105,12,56
105,13,56
105,14,24.15
105,15,12.075
105,16,6.04
105,20,24.15
105,22,19.2
105,37,26.4
105,38,14.35
105,39,6.15
105,40,2.87
105,64,3
105,85,0.5
106,12,113.7
106,13,113.7
106,21,11.1
106,22,41.1
106,37,41.2
106,38,22.4
106,39,9.6
106,40,4.5
106,64,3
107,12,102
107,13,102
107,14,18
107,15,9
107,20,18
107,21,54.3
107,22,11.2
107,37,23
107,38,11.08
107,39,5.75
107,40,2.216
107,64,11.2
107,85,1
108,1,1
108,13,85
108,14,14.5
108,20,14.5
108,21,36.2
108,22,6.5
108,29,1.6
108,30,0.75
108,31,0.38
108,32,0.5
108,33,0.25
108,37,13.4
108,38,6.7
108,39,3.35
108,40,1.34
108,64,5.6
108,74,11.2
109,1,1
109,12,65
109,13,60
109,14,20.7
109,15,10.6
109,19,1.2
109,20,20.7
109,21,5.18
109,22,15.2
109,37,20.7
109,38,11.75
109,39,6
109,40,3
109,64,11.3
110,1,1
110,13,80.4
110,22,15.6
110,31,0.5
110,32,0.5
110,33,0.25
110,74,5.6
111,1,1
111,14,16.5
111,15,8.25
111,17,2.475
111,19,0.75
111,20,18
111,21,4.5
111,22,5.33
111,30,0.8
111,31,0.4
111,32,0.35
111,33,0.25
111,74,4.5
111,75,3.2
111,77,4
111,79,2.1
112,64,3
112,85,0.34
113,1,1
113,12,70
113,13,186.2
113,20,23.33
113,21,5.33
113,22,30.2
113,29,2
113,30,1
113,31,0.5
113,32,0.5
113,33,0.25
113,39,5.83
113,40,2.33
113,49,2.33
113,74,5.83
113,75,3.2
113,77,4.1
113,78,3.2
113,79,1.2
114,41,1
114,42,0.5
114,43,0.2
114,44,0.1
114,45,0.05
115,1,1
115,10,100
115,20,36
115,21,6
115,22,24.6
115,29,2
115,30,2
115,31,0.5
115,32,0.5
115,33,0.25
115,37,20
115,40,2
115,74,4.3
116,1,1
116,12,60.4
116,13,158.3
116,19,0.8
116,20,17.9
116,21,4.5
116,22,26.2
116,29,1.9
116,30,0.9
116,31,0.5
116,32,0.5
116,33,0.25
116,37,21.7
116,39,5.4
116,40,2.2
116,74,2.8
116,75,3.4
116,77,1.8
116,78,2.2
116,79,0.7
117,1,1
118,1,1
119,1,1
120,1,1
121,1,1
121,85,1046
122,1,1
122,55,1
122,56,2
122,57,3
122,58,1
122,59,2
122,64,4.6
122,85,7.6
123,1,1
123,32,0.5
123,33,0.25
123,55,1
123,56,2
123,57,4
123,58,1
123,59,2
123,60,4
123,64,4.5
123,85,6.7
124,61,1.5
124,85,0.05
125,3,1.04
125,16,5.2
125,17,3.12
125,18,2.08
125,19,1.04
125,23,7.8
125,24,5.2
125,25,3.64
125,26,3.12
125,32,5.2
125,33,2.6
125,77,2.08
125,78,1.56
126,1,1
126,29,2
126,30,1
126,31,0.5
126,49,2
126,50,1
126,53,0.1
126,54,0.09
127,3,0.92
127,4,0.15
127,16,4.6
127,17,2.76
127,18,1.84
127,19,0.92
127,24,0.46
127,25,0.322
127,26,0.276
127,27,0.23
127,28,0.138
127,32,0.46
127,33,0.23
128,1,1
128,4,0.15
128,30,1
128,31,0.5
128,32,0.5
128,33,0.25
128,34,0.1
128,35,0.014
128,36,0.005
128,53,0.1
128,54,0.08
129,1,1
129,4,0.15
129,29,2
129,30,1
129,31,0.5
129,32,0.47
129,33,0.24
129,35,0.014
129,36,0.005
129,51,0.5
129,52,0.25
129,53,0.1
129,54,0.08
130,1,1
130,64,0.35
130,85,0.035
131,64,12.3
131,67,8.4
131,68,4.3
131,69,3.2
131,70,1.1
131,85,0.188
132,1,1
132,20,36.4
132,21,6.6
132,22,25.8
132,37,20
132,38,10
132,39,5
132,40,2
132,64,1.2
132,85,0.473
133,1,1
133,22,11.2
133,39,4.9
133,40,2.1
133,64,1.2
133,85,0.159
134,1,1
134,21,3.8
134,22,13.2
134,38,7.8
134,39,3.7
134,40,1.4
134,64,0.89
134,85,0.43
135,1,1
135,39,4.3
135,40,1.1
135,64,0.72
135,66,0.51
135,85,0.1
136,1,1
136,22,13.4
136,37,18.7
136,38,8.6
136,39,3.9
136,40,1.78
136,64,0.88
136,85,0.085
137,85,0.908
138,64,0.34
138,66,0.481
139,64,0.43
139,66,0.21
139,85,0.32
140,1,1
140,20,8.4
140,21,2.1
140,22,15
140,29,2
140,30,1
140,31,0.5
140,32,0.1
140,33,0.25
140,37,10
140,38,5
140,39,2.5
140,40,1
140,64,0.86
140,75,3.67
141,1,1
141,14,19.6
141,21,3.875
141,22,32.2
141,29,4
141,30,2
141,31,1
141,32,0.2
141,33,0.58
141,39,3.9
141,40,1.56
141,64,6
141,74,4.2
141,77,1.68
141,79,0.84
142,10,48
142,15,3.5
142,16,2.1
142,17,1.3
142,18,0.81
142,19,0.34
142,20,7
142,22,6.4
142,32,0.5
142,33,0.012
142,37,7
142,39,1.75
142,40,0.7
142,74,2
143,1,1
143,20,15
143,21,3.75
143,22,6.4
143,29,1.5
143,30,0.7
143,31,0.4
143,32,0.25
143,33,0.012
143,34,0.023
143,38,8
143,39,3.75
143,40,1.6
143,74,4
144,1,1
144,2,0.001
144,16,12.3
144,30,1.1
144,31,0.56
144,32,0.55
144,33,0.26
145,1,1
145,29,1.7
145,30,0.8
145,32,0.3
145,33,0.18
145,38,8
145,39,3
145,40,1
145,64,3
145,74,3.9
146,1,1
146,2,0.001
146,29,1.775
146,31,0.45
146,32,0.35
146,33,0.17
146,34,0.08
146,35,0.05
146,53,0.07
146,54,0.03
147,1,1
147,32,0.5
147,33,0.25
147,34,0.1
147,35,0.05
147,36,0.025
147,52,0.25
147,54,0.13
148,1,1
148,2,0.001
148,30,1
148,31,0.5
148,32,0.5
148,33,0.25
148,34,0.1
148,35,0.05
148,36,0.025
148,50,1
148,51,0.5
148,52,0.25
148,53,0.1
148,54,0.02
148,64,0.5
149,1,1
149,2,0.001
149,31,0.34
149,32,0.34
149,33,0.18
149,34,0.07
149,35,0.04
149,36,0.03
149,49,2
149,50,1
149,51,0.5
149,52,0.25
149,53,0.1
149,54,0.05
149,64,0.5
150,1,1
150,32,0.5
150,33,0.25
150,34,0.1
150,35,0.03
150,36,0.02
150,49,2
150,50,1
150,51,0.5
150,52,0.25
150,53,0.1
150,54,0.5
151,3,1
151,23,0.75
151,24,0.5
151,25,0.35
151,26,0.3
151,63,7.2
152,3,1
152,23,0.75
152,24,0.5
152,25,0.35
152,26,0.3
152,63,12.5
153,3,1.44
153,14,28.8
153,15,14.4
153,16,7.2
153,17,4.32
153,19,1.44
153,21,7.2
153,23,1.08
153,24,0.72
153,25,0.504
153,26,0.432
153,27,0.36
153,28,0.216
153,29,2
153,30,1
153,31,0.5
153,32,0.72
153,33,0.36
153,71,3.2
153,72,7.8
153,73,12.3
153,74,4.36
153,75,3.2
153,77,2.88
153,78,2.16
153,79,1.44
153,80,0.072
153,81,0.1
153,82,0.05
154,3,1
154,14,20
154,15,10
154,16,5
154,17,3
154,18,2
154,19,1
154,21,5
154,23,0.75
